title,slug,subtitle,author,publish_on,category,symbol,byline,background_image
Here I am…,here-i-am,subtitle example,2,2011-07-13,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2011/07/dsc0105.jpg?w=750
The naming of things,the-naming-of-things,subtitle example,2,2011-07-18,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/12/dsc0367.jpg?w=600&h=398
A few words,a-few-words,subtitle example,2,2011-10-30,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2011/10/dogs.jpg?w=750
"Mirror, Mirror",mirror-mirror,subtitle example,2,2011-11-05,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2011/11/hornbill.jpg?w=750
Home. Safe.,home-safe,subtitle example,2,2011-11-23,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2011/11/leopard.jpg?w=750
Give thanks.,give-thanks,subtitle example,2,2011-12-04,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2011/12/giraffe.jpg?w=750
Family.,family,subtitle example,2,2011-12-15,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2011/12/look-my-way.jpg?w=750
What’s cooking.,whats-cooking,subtitle example,2,2012-01-04,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/01/decemberroller.jpg?w=750
Hello old friend.,hello-old-friend,subtitle example,2,2012-02-19,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/02/decemberdog.jpg?w=750
I wished I could fly.,i-wished-i-could-fly,subtitle example,2,2012-02-23,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/02/waitingfisheagle.jpg?w=750
Stay.,stay,subtitle example,2,2012-03-04,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/03/peekingelephant.jpg?w=750
Shaken.,shaken,subtitle example,2,2012-03-15,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/03/eleinthesun.jpg?w=750
April.,april,subtitle example,2,2012-05-04,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/05/kudukill42.jpg?w=1014
For George.,for-george,subtitle example,2,2012-05-13,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/05/georgeandme.jpg?w=750
Favourite photographs.,favourite-photographs,subtitle example,2,2012-09-01,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/09/littlelion1.jpg?w=750
Little Boxes.,little-boxes,subtitle example,2,2012-11-16,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/11/dsc0345.jpg?w=398&h=600
"Food, love, etc.",food-love-etc,subtitle example,2,2012-12-12,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2012/12/dsc0326.jpg?w=600&h=486
Family recipes.,family-recipes,subtitle example,2,2013-01-24,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2013/01/dsc_4531.jpg?w=750?w=600
Something about faith.,something-about-faith,subtitle example,2,2013-04-07,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2013/04/damaraland.jpg?w=750
Where it goes.,where-it-goes,subtitle example,2,2013-06-13,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2013/05/freshcinbuns.jpg?w=750
More than words.,more-than-words,subtitle example,2,2013-09-26,1,A,A piece by Abiella Schneider-Friedman,
In progress.,in-progress,subtitle example,2,2014-03-05,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2014/03/kudukill5.jpg?w=750
What I’m reading.,what-im-reading,subtitle example,2,2014-05-04,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2014/05/dscn0401.jpg?w=750
The land of stones.,the-land-of-stones,subtitle example,2,2014-10-20,1,A,A piece by Abiella Schneider-Friedman,
Spark.,spark,subtitle example,2,2014-10-28,1,A,A piece by Abiella Schneider-Friedman,
Burn.,burn,subtitle example,2,2014-11-06,1,A,A piece by Abiella Schneider-Friedman,
Washing dishes.,washing-dishes,subtitle example,2,2014-11-11,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2014/11/img_0045.jpg?w=750
Tiny cracks,tiny-cracks,subtitle example,2,2015-04-27,1,A,A piece by Abiella Schneider-Friedman,
Mary’s Island,marys-island,subtitle example,2,2015-07-21,1,A,A piece by Abiella Schneider-Friedman,
Here.,here,subtitle example,2,2015-09-21,1,A,A piece by Abiella Schneider-Friedman,
Knowing.,knowing,subtitle example,2,2016-07-12,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2016/07/parents-walking.jpg?w=750?w=640
Run.,run,subtitle example,2,2016-07-25,1,A,A piece by Abiella Schneider-Friedman,
Gifts,gifts,subtitle example,2,2016-10-19,1,A,A piece by Abiella Schneider-Friedman,
Bloom,bloom,subtitle example,2,2017-05-29,1,A,A piece by Abiella Schneider-Friedman,https://abiinafrica.files.wordpress.com/2017/05/door-in-italy.jpg?w=750?w=750
